ControlID,RuleName
C-0077,K8s common labels usage
C-0160,k8s-audit-logs-enabled-native-cis
C-0087,CVE-2022-23648
C-0134,ensure-that-the-api-server-request-timeout-argument-is-set-as-appropriate
C-0140,ensure-that-the-api-server-etcd-cafile-argument-is-set-as-appropriate
C-0201,pod-security-admission-restricted-applied
C-0205,ensure-that-the-cni-in-use-supports-network-policies
C-0152,ensure-that-the-scheduler-bind-address-argument-is-set-to-127.0.0.1
C-0156,etcd-peer-tls-enabled
C-0108,ensure-that-the-controller-manager.conf-file-permissions-are-set-to-600-or-more-restrictive
C-0229,ensure-endpointpublicaccess-is-disabled-on-private-nodes-eks
C-0026,rule-deny-cronjobs
C-0109,ensure-that-the-controller-manager.conf-file-ownership-is-set-to-root-root
C-0084,exposed-rce-pods
C-0181,validate-kubelet-tls-configuration-updated
C-0130,ensure-that-the-api-server-audit-log-path-argument-is-set
C-0128,ensure-that-the-api-server-secure-port-argument-is-not-set-to-0
C-0183,kubelet-rotate-kubelet-server-certificate
C-0237,has-image-signature
C-0199,pod-security-admission-baseline-applied
C-0198,pod-security-admission-restricted-applied
C-0122,ensure-that-the-admission-control-plugin-AlwaysAdmit-is-not-set
C-0038,host-pid-ipc-privileges
C-0204,pod-security-admission-baseline-applied
C-0162,ensure-that-the-kubelet-service-file-permissions-are-set-to-600-or-more-restrictive
C-0035,rule-list-all-cluster-admins
C-0035,rule-list-all-cluster-admins-v1
C-0111,ensure-that-the-Kubernetes-PKI-certificate-file-permissions-are-set-to-600-or-more-restrictive
C-0179,kubelet-hostname-override
C-0021,exposed-sensitive-interfaces
C-0021,exposed-sensitive-interfaces-v1
C-0184,kubelet-strong-cryptographics-ciphers
C-0164,if-proxy-kubeconfig-file-exists-ensure-permissions-are-set-to-600-or-more-restrictive
C-0175,read-only-port-enabled-updated
C-0091,CVE-2022-47633
C-0090,CVE-2022-39328
C-0158,etcd-peer-auto-tls-disabled
C-0085,excessive_amount_of_vulnerabilities_pods
