frameworkName,ControlID,ControlName
ArmoBest,C-0001,Forbidden Container Registries
ArmoBest,C-0002,Exec into container
ArmoBest,C-0005,API server insecure port is enabled
ArmoBest,C-0009,Resource limits
ArmoBest,C-0012,Applications credentials in configuration files
ArmoBest,C-0013,Non-root containers
ArmoBest,C-0016,Allow privilege escalation
ArmoBest,C-0017,Immutable container filesystem
ArmoBest,C-0030,Ingress and Egress blocked
ArmoBest,C-0034,Automatic mapping of service account
ArmoBest,C-0035,Cluster-admin binding
ArmoBest,C-0038,Host PID/IPC privileges
ArmoBest,C-0041,HostNetwork access
ArmoBest,C-0044,Container hostPort
ArmoBest,C-0046,Insecure capabilities
ArmoBest,C-0049,Network mapping
ArmoBest,C-0054,Cluster internal networking
ArmoBest,C-0055,Linux hardening
ArmoBest,C-0057,Privileged container
ArmoBest,C-0058,CVE-2021-25741 - Using symlink for arbitrary host file system access.
ArmoBest,C-0059,CVE-2021-25742-nginx-ingress-snippet-annotation-vulnerability
ArmoBest,C-0061,Pods in default namespace
ArmoBest,C-0062,Sudo in container entrypoint
ArmoBest,C-0063,Portforwarding privileges
ArmoBest,C-0065,No impersonation
ArmoBest,C-0066,Secret/ETCD encryption enabled
ArmoBest,C-0067,Audit logs enabled
ArmoBest,C-0068,PSP enabled
ArmoBest,C-0069,Disable anonymous access to Kubelet service
ArmoBest,C-0070,Enforce Kubelet client TLS authentication
ArmoBest,C-0078,Images from allowed registry
ArmoBest,C-0079,CVE-2022-0185-linux-kernel-container-escape
ArmoBest,C-0081,CVE-2022-24348-argocddirtraversal
ArmoBest,C-0083,Workloads with Critical vulnerabilities exposed to external traffic
ArmoBest,C-0084,Workloads with RCE vulnerabilities exposed to external traffic
ArmoBest,C-0085,Workloads with excessive amount of vulnerabilities
ArmoBest,C-0086,CVE-2022-0492-cgroups-container-escape
ArmoBest,C-0087,CVE-2022-23648-containerd-fs-escape
ArmoBest,C-0089,CVE-2022-3172-aggregated-API-server-redirect
ArmoBest,C-0091,CVE-2022-47633-kyverno-signature-bypass
ArmoBest,C-0236,Verify image signature
ArmoBest,C-0237,Check if signature exists
cis-v1.23-t1.0.1,C-0092,Ensure that the API server pod specification file permissions are set to 600 or more restrictive
cis-v1.23-t1.0.1,C-0093,Ensure that the API server pod specification file ownership is set to root:root
cis-v1.23-t1.0.1,C-0094,Ensure that the controller manager pod specification file permissions are set to 600 or more restrictive
cis-v1.23-t1.0.1,C-0095,Ensure that the controller manager pod specification file ownership is set to root:root
cis-v1.23-t1.0.1,C-0096,Ensure that the scheduler pod specification file permissions are set to 600 or more restrictive
cis-v1.23-t1.0.1,C-0097,Ensure that the scheduler pod specification file ownership is set to root:root
cis-v1.23-t1.0.1,C-0098,Ensure that the etcd pod specification file permissions are set to 600 or more restrictive
cis-v1.23-t1.0.1,C-0099,Ensure that the etcd pod specification file ownership is set to root:root
cis-v1.23-t1.0.1,C-0100,Ensure that the Container Network Interface file permissions are set to 600 or more restrictive
cis-v1.23-t1.0.1,C-0101,Ensure that the Container Network Interface file ownership is set to root:root
cis-v1.23-t1.0.1,C-0102,Ensure that the etcd data directory permissions are set to 700 or more restrictive
cis-v1.23-t1.0.1,C-0103,Ensure that the etcd data directory ownership is set to etcd:etcd
cis-v1.23-t1.0.1,C-0104,Ensure that the admin.conf file permissions are set to 600
cis-v1.23-t1.0.1,C-0105,Ensure that the admin.conf file ownership is set to root:root
cis-v1.23-t1.0.1,C-0106,Ensure that the scheduler.conf file permissions are set to 600 or more restrictive
cis-v1.23-t1.0.1,C-0107,Ensure that the scheduler.conf file ownership is set to root:root
cis-v1.23-t1.0.1,C-0108,Ensure that the controller-manager.conf file permissions are set to 600 or more restrictive
cis-v1.23-t1.0.1,C-0109,Ensure that the controller-manager.conf file ownership is set to root:root
cis-v1.23-t1.0.1,C-0110,Ensure that the Kubernetes PKI directory and file ownership is set to root:root
cis-v1.23-t1.0.1,C-0111,Ensure that the Kubernetes PKI certificate file permissions are set to 600 or more restrictive
cis-v1.23-t1.0.1,C-0112,Ensure that the Kubernetes PKI key file permissions are set to 600
cis-v1.23-t1.0.1,C-0113,Ensure that the API Server --anonymous-auth argument is set to false
cis-v1.23-t1.0.1,C-0114,Ensure that the API Server --token-auth-file parameter is not set
cis-v1.23-t1.0.1,C-0115,Ensure that the API Server --DenyServiceExternalIPs is not set
cis-v1.23-t1.0.1,C-0116,Ensure that the API Server --kubelet-client-certificate and --kubelet-client-key arguments are set as appropriate
cis-v1.23-t1.0.1,C-0117,Ensure that the API Server --kubelet-certificate-authority argument is set as appropriate
cis-v1.23-t1.0.1,C-0118,Ensure that the API Server --authorization-mode argument is not set to AlwaysAllow
cis-v1.23-t1.0.1,C-0119,Ensure that the API Server --authorization-mode argument includes Node
cis-v1.23-t1.0.1,C-0120,Ensure that the API Server --authorization-mode argument includes RBAC
cis-v1.23-t1.0.1,C-0121,Ensure that the admission control plugin EventRateLimit is set
cis-v1.23-t1.0.1,C-0122,Ensure that the admission control plugin AlwaysAdmit is not set
cis-v1.23-t1.0.1,C-0123,Ensure that the admission control plugin AlwaysPullImages is set
cis-v1.23-t1.0.1,C-0124,Ensure that the admission control plugin SecurityContextDeny is set if PodSecurityPolicy is not used
cis-v1.23-t1.0.1,C-0125,Ensure that the admission control plugin ServiceAccount is set
cis-v1.23-t1.0.1,C-0126,Ensure that the admission control plugin NamespaceLifecycle is set
cis-v1.23-t1.0.1,C-0127,Ensure that the admission control plugin NodeRestriction is set
cis-v1.23-t1.0.1,C-0128,Ensure that the API Server --secure-port argument is not set to 0
cis-v1.23-t1.0.1,C-0129,Ensure that the API Server --profiling argument is set to false
cis-v1.23-t1.0.1,C-0130,Ensure that the API Server --audit-log-path argument is set
cis-v1.23-t1.0.1,C-0131,Ensure that the API Server --audit-log-maxage argument is set to 30 or as appropriate
cis-v1.23-t1.0.1,C-0132,Ensure that the API Server --audit-log-maxbackup argument is set to 10 or as appropriate
cis-v1.23-t1.0.1,C-0133,Ensure that the API Server --audit-log-maxsize argument is set to 100 or as appropriate
cis-v1.23-t1.0.1,C-0134,Ensure that the API Server --request-timeout argument is set as appropriate
cis-v1.23-t1.0.1,C-0135,Ensure that the API Server --service-account-lookup argument is set to true
cis-v1.23-t1.0.1,C-0136,Ensure that the API Server --service-account-key-file argument is set as appropriate
cis-v1.23-t1.0.1,C-0137,Ensure that the API Server --etcd-certfile and --etcd-keyfile arguments are set as appropriate
cis-v1.23-t1.0.1,C-0138,Ensure that the API Server --tls-cert-file and --tls-private-key-file arguments are set as appropriate
cis-v1.23-t1.0.1,C-0139,Ensure that the API Server --client-ca-file argument is set as appropriate
cis-v1.23-t1.0.1,C-0140,Ensure that the API Server --etcd-cafile argument is set as appropriate
cis-v1.23-t1.0.1,C-0141,Ensure that the API Server --encryption-provider-config argument is set as appropriate
cis-v1.23-t1.0.1,C-0142,Ensure that encryption providers are appropriately configured
cis-v1.23-t1.0.1,C-0143,Ensure that the API Server only makes use of Strong Cryptographic Ciphers
cis-v1.23-t1.0.1,C-0144,Ensure that the Controller Manager --terminated-pod-gc-threshold argument is set as appropriate
cis-v1.23-t1.0.1,C-0145,Ensure that the Controller Manager --profiling argument is set to false
cis-v1.23-t1.0.1,C-0146,Ensure that the Controller Manager --use-service-account-credentials argument is set to true
cis-v1.23-t1.0.1,C-0147,Ensure that the Controller Manager --service-account-private-key-file argument is set as appropriate
cis-v1.23-t1.0.1,C-0148,Ensure that the Controller Manager --root-ca-file argument is set as appropriate
cis-v1.23-t1.0.1,C-0149,Ensure that the Controller Manager RotateKubeletServerCertificate argument is set to true
cis-v1.23-t1.0.1,C-0150,Ensure that the Controller Manager --bind-address argument is set to 127.0.0.1
cis-v1.23-t1.0.1,C-0151,Ensure that the Scheduler --profiling argument is set to false
cis-v1.23-t1.0.1,C-0152,Ensure that the Scheduler --bind-address argument is set to 127.0.0.1
cis-v1.23-t1.0.1,C-0153,Ensure that the --cert-file and --key-file arguments are set as appropriate
cis-v1.23-t1.0.1,C-0154,Ensure that the --client-cert-auth argument is set to true
cis-v1.23-t1.0.1,C-0155,Ensure that the --auto-tls argument is not set to true
cis-v1.23-t1.0.1,C-0156,Ensure that the --peer-cert-file and --peer-key-file arguments are set as appropriate
cis-v1.23-t1.0.1,C-0157,Ensure that the --peer-client-cert-auth argument is set to true
cis-v1.23-t1.0.1,C-0158,Ensure that the --peer-auto-tls argument is not set to true
cis-v1.23-t1.0.1,C-0159,Ensure that a unique Certificate Authority is used for etcd
cis-v1.23-t1.0.1,C-0160,Ensure that a minimal audit policy is created
cis-v1.23-t1.0.1,C-0161,Ensure that the audit policy covers key security concerns
cis-v1.23-t1.0.1,C-0162,Ensure that the kubelet service file permissions are set to 600 or more restrictive
cis-v1.23-t1.0.1,C-0163,Ensure that the kubelet service file ownership is set to root:root
cis-v1.23-t1.0.1,C-0164,If proxy kubeconfig file exists ensure permissions are set to 600 or more restrictive
cis-v1.23-t1.0.1,C-0165,If proxy kubeconfig file exists ensure ownership is set to root:root
cis-v1.23-t1.0.1,C-0166,Ensure that the --kubeconfig kubelet.conf file permissions are set to 600 or more restrictive
cis-v1.23-t1.0.1,C-0167,Ensure that the --kubeconfig kubelet.conf file ownership is set to root:root
cis-v1.23-t1.0.1,C-0168,Ensure that the certificate authorities file permissions are set to 600 or more restrictive
cis-v1.23-t1.0.1,C-0169,Ensure that the client certificate authorities file ownership is set to root:root
cis-v1.23-t1.0.1,C-0170,If the kubelet config.yaml configuration file is being used validate permissions set to 600 or more restrictive
cis-v1.23-t1.0.1,C-0171,If the kubelet config.yaml configuration file is being used validate file ownership is set to root:root
cis-v1.23-t1.0.1,C-0172,Ensure that the --anonymous-auth argument is set to false
cis-v1.23-t1.0.1,C-0173,Ensure that the --authorization-mode argument is not set to AlwaysAllow
cis-v1.23-t1.0.1,C-0174,Ensure that the --client-ca-file argument is set as appropriate
cis-v1.23-t1.0.1,C-0175,Verify that the --read-only-port argument is set to 0
cis-v1.23-t1.0.1,C-0176,Ensure that the --streaming-connection-idle-timeout argument is not set to 0
cis-v1.23-t1.0.1,C-0177,Ensure that the --protect-kernel-defaults argument is set to true
cis-v1.23-t1.0.1,C-0178,Ensure that the --make-iptables-util-chains argument is set to true
cis-v1.23-t1.0.1,C-0179,Ensure that the --hostname-override argument is not set
cis-v1.23-t1.0.1,C-0180,Ensure that the --event-qps argument is set to 0 or a level which ensures appropriate event capture
cis-v1.23-t1.0.1,C-0181,Ensure that the --tls-cert-file and --tls-private-key-file arguments are set as appropriate
cis-v1.23-t1.0.1,C-0182,Ensure that the --rotate-certificates argument is not set to false
cis-v1.23-t1.0.1,C-0183,Verify that the RotateKubeletServerCertificate argument is set to true
cis-v1.23-t1.0.1,C-0184,Ensure that the Kubelet only makes use of Strong Cryptographic Ciphers
cis-v1.23-t1.0.1,C-0185,Ensure that the cluster-admin role is only used where required
cis-v1.23-t1.0.1,C-0186,Minimize access to secrets
cis-v1.23-t1.0.1,C-0187,Minimize wildcard use in Roles and ClusterRoles
cis-v1.23-t1.0.1,C-0188,Minimize access to create pods
cis-v1.23-t1.0.1,C-0189,Ensure that default service accounts are not actively used
cis-v1.23-t1.0.1,C-0190,Ensure that Service Account Tokens are only mounted where necessary
cis-v1.23-t1.0.1,C-0191,"Limit use of the Bind, Impersonate and Escalate permissions in the Kubernetes cluster"
cis-v1.23-t1.0.1,C-0192,Ensure that the cluster has at least one active policy control mechanism in place
cis-v1.23-t1.0.1,C-0193,Minimize the admission of privileged containers
cis-v1.23-t1.0.1,C-0194,Minimize the admission of containers wishing to share the host process ID namespace
cis-v1.23-t1.0.1,C-0195,Minimize the admission of containers wishing to share the host IPC namespace
cis-v1.23-t1.0.1,C-0196,Minimize the admission of containers wishing to share the host network namespace
cis-v1.23-t1.0.1,C-0197,Minimize the admission of containers with allowPrivilegeEscalation
cis-v1.23-t1.0.1,C-0198,Minimize the admission of root containers
cis-v1.23-t1.0.1,C-0199,Minimize the admission of containers with the NET_RAW capability
cis-v1.23-t1.0.1,C-0200,Minimize the admission of containers with added capabilities
cis-v1.23-t1.0.1,C-0201,Minimize the admission of containers with capabilities assigned
cis-v1.23-t1.0.1,C-0202,Minimize the admission of Windows HostProcess Containers
cis-v1.23-t1.0.1,C-0203,Minimize the admission of HostPath volumes
cis-v1.23-t1.0.1,C-0204,Minimize the admission of containers which use HostPorts
cis-v1.23-t1.0.1,C-0205,Ensure that the CNI in use supports Network Policies
cis-v1.23-t1.0.1,C-0206,Ensure that all Namespaces have Network Policies defined
cis-v1.23-t1.0.1,C-0207,Prefer using secrets as files over secrets as environment variables
cis-v1.23-t1.0.1,C-0208,Consider external secret storage
cis-v1.23-t1.0.1,C-0209,Create administrative boundaries between resources using namespaces
cis-v1.23-t1.0.1,C-0210,Ensure that the seccomp profile is set to docker/default in your pod definitions
cis-v1.23-t1.0.1,C-0211,Apply Security Context to Your Pods and Containers
cis-v1.23-t1.0.1,C-0212,The default namespace should not be used
cis-eks-t1.2.0,C-0066,Secret/ETCD encryption enabled
cis-eks-t1.2.0,C-0067,Audit logs enabled
